,Mix Joias,Santo Acessórios,Supremo Acessórios,SKU,Estoque
,,,,300001,0
,,,,300002,91
,,,,300003,5
,,,,300004,0
,,,,300005,226
,,,,300006,9
,,,,300007,1
,,,,300008,10
,,,,300009,0
,,,,300010,1
,,,,300011,1
,,,,300012,2
,,,,300013,0
,,,,300014,0
,,,,300015,0
,,,,300016,12
,,,,300017,0
,,,,300018,0
,,,,300019,0
,,,,300020,0
,,,,300021,1
,,,,300022,0
,,,,300023,0
,,,,300024,0
,,,,300025,54
,,,,300026,0
,,,,300027,7
,,,,300028,6
,,,,300029,5
,,,,300030,1
,,,,300031,0
,,,,300032,0
,,,,300033,3
,,,,300034,0
,,,,300035,0
,,,,300036,4
,,,,300037,0
,,,,300038,1
,,,,300039,37
,,,,300040,0
,,,,300041,19
,,,,300042,0
,,,,300043,0
,,,,300044,220
,,,,300045,1
,,,,300046,0
,,,,300047,12
,,,,300048,0
,,,,300049,11
,,,,300050,0
,,,,300051,14
,,,,300052,0
,,,,300053,20
,,,,300054,11
,,,,300055,4
,,,,300056,82
,,,,300057,0
,,,,300058,21
,,,,300059,0
,,,,300060,17
,,,,300061,0
,,,,300062,0
,,,,300063,0
,,,,300064,3
,,,,300065,0
,,,,300066,0
,,,,300067,0
,,,,300068,0
,,,,300069,15
,,,,300070,0
,,,,300071,0
,,,,300072,0
,,,,300073,8
,,,,300074,0
,,,,300075,0
,,,,300076,57
,,,,300077,1
,,,,300078,195
,,,,300079,0
,,,,300080,1
,,,,300081,184
,,,,300082,0
,,,,300083,4
,,,,300084,0
,,,,300085,7
,,,,300086,7
,,,,300087,3
,,,,300088,0
,,,,300089,4
,,,,300090,48
,,,,300091,126
,,,,300092,0
,,,,300093,0
,,,,300094,1
,,,,300095,0
,,,,300096,5
,,,,300097,0
,,,,300098,3
,,,,300099,2
,,,,300100,3
,,,,300101,0
,,,,300102,3
,,,,300103,5
,,,,300104,0
,,,,300105,1
,,,,300106,1
,,,,300107,1
,,,,300108,2
,,,,300109,6
,,,,300110,2
,,,,300111,2
,,,,300112,17
,,,,300113,0
,,,,300114,1
,,,,300115,0
,,,,300116,9
,,,,300117,0
,,,,300118,0
,,,,300119,0
,,,,300120,0
,,,,300121,0
,,,,300122,0
,,,,300123,0
,,,,300124,2
,,,,100030,23
,,,,100012,1
,,,,100093,9
,,,,100280,44
,,,,100382,1
,,,,100325,1
,,,,100335,9
,,,,100336,3
,,,,100367,2
,,,,100103,8
,,,,100131,3
,,,,100362,4
,,,,100364,2
,,,,100363,1
,,,,100402,4
,,,,10315,8
,,,,100339,5
,,,,100200,12
,,,,100078,4
,,,,100359,10
,,,,100344,4
,,,,100354,8
,,,,100340,2
,,,,100358,2
,,,,100350,6
,,,,100076,4
,,,,100369,3
,,,,100377,6
,,,,100361,2
,,,,100368,5
,,,,100378,3
,,,,100370,3
,,,,100372,2
,,,,100376,4
,,,,100278,4
,,,,100360,1
,,,,100384,9
,,,,100057,1
,,,,100380,2
,,,,100342,2
,,,,100375,3
,,,,100004,124
,,,,100006,25
,,,,100019,17
,,,,100062,31
,,,,100054,4
,,,,100028,14
,,,,100284,28
,,,,100022,20
,,,,100035,60
,,,,100032,51
,,,,100050,77
,,,,100044,4
,,,,100129,14
,,,,101010,4
,,,,100041,5
,,,,100090,32
,,,,100020,5
,,,,100218,1
,,,,100050,77
,,,,100327,2
,,,,100032,51
,,,,100328,1
,,,,100222,40
,,,,100014,109
